# sep-matthews
inceptionresnetv2, 97.02, 96.56, 97.36, 95.53, 97.05, 96.90, 97.22, 97.71, 97.53
dhSegment, 92.95, 94.03, 94.48, 94.09, 94.47, 94.17, 93.41, 94.37, 94.36
# blkx-recall
vgg16, 95.42, 96.62, 97.31, 96.37, 97.27, 97.21, 96.93, 97.16, 96.93
resnet34, 95.38, 96.32, 97.15, 96.19, 97.21, 96.95, 96.37, 97.30, 97.48
resnet50, 94.68, 96.61, 97.22, 96.27, 97.27, 97.23, 96.48, 97.59, 97.35
seresnet34, 95.86, 96.02, 97.32, 96.13, 97.10, 97.01, 96.50, 97.67, 97.54
seresnet50, 95.56, 96.18, 97.21, 96.33, 97.40, 97.12, 96.53, 97.63, 97.63
seresnext50, 95.63, 96.61, 97.30, 96.39, 97.06, 97.61, 96.05, 97.46, 97.29
efficientnetb1, 96.61, 96.63, 97.59, 96.21, 97.12, 97.24, 97.09, 97.76, 97.50
efficientnetb2, 95.96, 96.96, 97.13, 95.98, 97.11, 97.13, 97.04, 97.66, 97.51
inceptionv3, 96.13, 96.74, 97.40, 96.06, 97.28, 97.23, 96.56, 97.71, 97.43
inceptionresnetv2, 95.33, 97.17, 97.59, 96.30, 97.46, 97.43, 96.83, 97.94, 97.67
dhSegment, 92.91, 94.19, 94.44, 94.04, 94.29, 94.03, 93.26, 94.35, 94.25
